Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Deep Conversion: GO-HC (5),5,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: GO-HC (5),5,Others,2050,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,No Carbon Capture,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,0,0,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,186.6878063,295.0874901,294.1773512,297.3321056
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,128.3694599,310.4757162,309.7102714,312.3634825
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,137.4201819,219.2014838,218.0464656,222.0500289
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,124.793561,312.2594693,311.2990654,314.6280502
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,86.76623288,333.9732962,332.5472636,337.4902263
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,PADD1,LOW,HEAVY,SOUR,115644.1412,26.67034541,438.0719458,435.8886816,443.4563863
